participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.vcm_round,player.individual_exchange,player.group_exchange,player.group_exchange_percent,player.total_op_individual_exchange,player.total_op_group_exchange,player.round_points,player.player_role,player.player_role_list,player.paid_round,player.final_score,player.final_ge,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
5,r1pba33y,SSEL_B_05,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:38:03.405408+00:00,0,1,,,3,3,30.24,11.76,0.28,156.0,24.0,48.12,,,,,,0,2,3,lh2adj16,,,,,,,,0
6,6bh434eo,SSEL_B_08,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.199,2017-03-26 10:38:13.967788+00:00,0,1,,,1,3,48.0,12.0,0.2,138.24,23.76,65.88,,,,,,0,1,3,lh2adj16,,,,,,,,0
7,h3qp2fxk,SSEL_B_07,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.199,2017-03-26 10:38:19.358421+00:00,0,1,,,3,3,54.0,6.0,0.1,158.8,17.2,65.6,,,,,,0,1,3,lh2adj16,,,,,,,,0
8,t5xn077y,SSEL_B_06,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:38:21.809491+00:00,0,1,,,1,3,57.0,3.0,0.05,155.8,20.2,68.6,,,,,,0,2,3,lh2adj16,,,,,,,,0
1,710aenu7,SSEL_B_01,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:37:44.953576+00:00,0,1,,,3,4,57.0,3.0,0.05,147.58,10.42,63.71,,,,,,0,1,4,lh2adj16,,,,,,,,0
2,kinq3j0d,SSEL_B_02,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:37:50.557756+00:00,0,1,,,2,4,51.52,4.48,0.08,153.06,8.94,58.23,,,,,,0,1,4,lh2adj16,,,,,,,,0
3,qntguhzg,SSEL_B_03,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:37:55.049510+00:00,0,1,,,1,4,57.0,3.0,0.05,153.0,27.0,72.0,,,,,,0,1,4,lh2adj16,,,,,,,,0
4,vv84yx41,SSEL_B_04,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:38:00.578437+00:00,0,1,,,4,4,57.0,3.0,0.05,147.58,10.42,63.71,,,,,,0,2,4,lh2adj16,,,,,,,,0
5,r1pba33y,SSEL_B_05,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:38:03.405408+00:00,0,1,,,3,4,39.06,2.94,0.07,165.52,10.48,45.77,,,,,,0,2,4,lh2adj16,,,,,,,,0
6,6bh434eo,SSEL_B_08,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.199,2017-03-26 10:38:13.967788+00:00,0,1,,,1,4,42.0,18.0,0.3,168.0,12.0,57.0,,,,,,0,2,4,lh2adj16,,,,,,,,0
7,h3qp2fxk,SSEL_B_07,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.199,2017-03-26 10:38:19.358421+00:00,0,1,,,2,4,54.0,6.0,0.1,156.0,24.0,69.0,,,,,,0,2,4,lh2adj16,,,,,,,,0
8,t5xn077y,SSEL_B_06,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:38:21.809491+00:00,0,1,,,4,4,57.0,3.0,0.05,153.0,27.0,72.0,,,,,,0,1,4,lh2adj16,,,,,,,,0
1,710aenu7,SSEL_B_01,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:37:44.953576+00:00,0,1,,,1,5,51.0,9.0,0.15,157.12,18.88,64.94,,,,,,0,2,5,lh2adj16,,,,,,,,0
2,kinq3j0d,SSEL_B_02,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:37:50.557756+00:00,0,1,,,2,5,43.12,12.88,0.23,165.0,15.0,57.06,,,,,,0,1,5,lh2adj16,,,,,,,,0
3,qntguhzg,SSEL_B_03,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:37:55.049510+00:00,0,1,,,1,5,56.4,3.6,0.06,144.24,17.76,67.08,,,,,,0,1,5,lh2adj16,,,,,,,,0
4,vv84yx41,SSEL_B_04,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:38:00.578437+00:00,0,1,,,3,5,57.0,3.0,0.05,151.12,24.88,70.94,,,,,,0,1,5,lh2adj16,,,,,,,,0
5,r1pba33y,SSEL_B_05,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:38:03.405408+00:00,0,1,,,3,5,30.24,11.76,0.28,170.4,9.6,40.92,,,,,,0,2,5,lh2adj16,,,,,,,,0
6,6bh434eo,SSEL_B_08,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.199,2017-03-26 10:38:13.967788+00:00,0,1,,,4,5,57.0,3.0,0.05,143.64,18.36,67.68,,,,,,0,1,5,lh2adj16,,,,,,,,0
7,h3qp2fxk,SSEL_B_07,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.199,2017-03-26 10:38:19.358421+00:00,0,1,,,2,5,57.0,3.0,0.05,143.64,18.36,67.68,,,,,,0,2,5,lh2adj16,,,,,,,,0
8,t5xn077y,SSEL_B_06,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:38:21.809491+00:00,0,1,,,4,5,57.0,3.0,0.05,151.12,24.88,70.94,,,,,,0,2,5,lh2adj16,,,,,,,,0
1,710aenu7,SSEL_B_01,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:37:44.953576+00:00,0,1,,,2,6,54.0,6.0,0.1,147.9,14.1,64.05,,,,,,0,2,6,lh2adj16,,,,,,,,0
2,kinq3j0d,SSEL_B_02,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:37:50.557756+00:00,0,1,,,1,6,45.92,10.08,0.18,170.4,9.6,55.76,,,,,,0,2,6,lh2adj16,,,,,,,,0
