"","participant.id_in_session","participant.code","participant.label","participant._is_bot","participant._index_in_pages","participant._max_page_index","participant._current_app_name","participant._round_number","participant._current_page_name","participant.ip_address","participant.time_started","participant.exclude_from_data_analysis","participant.visited","participant.mturk_worker_id","participant.mturk_assignment_id","participant.payoff","player.id_in_group","player.vcm_round","player.individual_exchange","player.group_exchange","player.group_exchange_percent","player.total_op_individual_exchange","player.total_op_group_exchange","player.mpcr","player.round_points","player.player_role","player.player_role_list","player.paid_round","player.final_score","player.final_avg_ge","player.payoff","group.id_in_subsession","subsession.round_number","session.code","session.label","session.experimenter_name","session.mturk_HITId","session.mturk_HITGroupId","session.comment","session.is_demo"
"19",3,"kv6j95uw","SSEL_B_03",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.115",2017-05-21 06:07:20,0,1,NA,NA,85,4,2,19,1,0.05,26,34,0.3,29.5,NA,NA,NA,NA,NA,0,3,2,"2huaehm1",NA,NA,NA,NA,NA,0
"20",4,"uczqnwc2","SSEL_B_02",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.142",2017-05-21 06:07:21,0,1,NA,NA,70,3,2,16.8,3.2,0.16,43,17,0.3,22.86,NA,NA,NA,NA,NA,0,4,2,"2huaehm1",NA,NA,NA,NA,NA,0
"21",5,"0juhqjgp","SSEL_B_01",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.117",2017-05-21 06:07:24,0,1,NA,NA,75,4,2,19,1,0.05,57,3,0.3,20.2,NA,NA,NA,NA,NA,0,4,2,"2huaehm1",NA,NA,NA,NA,NA,0
"22",6,"kzukhtoj","SSEL_B_06",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.203",2017-05-21 06:07:33,0,1,NA,NA,75,2,2,16,4,0.2,43.8,16.2,0.3,22.06,NA,NA,NA,NA,NA,0,4,2,"2huaehm1",NA,NA,NA,NA,NA,0
"23",7,"rg0w0s8o","SSEL_B_07",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.220",2017-05-21 06:07:36,0,1,NA,NA,70,2,2,11.4,8.6,0.43,20.1,37.9,0.3,25.35,NA,NA,NA,NA,NA,0,1,2,"2huaehm1",NA,NA,NA,NA,NA,0
"24",8,"csyiejqy","SSEL_B_08",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.202",2017-05-21 06:07:40,0,1,NA,NA,60,3,2,2,18,0.9,43,17,0.3,12.5,NA,NA,NA,NA,NA,0,3,2,"2huaehm1",NA,NA,NA,NA,NA,0
"25",9,"4tdc12z8","SSEL_B_09",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.120",2017-05-21 06:07:42,0,1,NA,NA,60,3,2,11,9,0.45,20.5,37.5,0.3,24.95,NA,NA,NA,NA,NA,0,2,2,"2huaehm1",NA,NA,NA,NA,NA,0
"26",10,"hom8zhgd","SSEL_B_10",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.174",2017-05-21 06:07:45,0,1,NA,NA,65,3,2,8.1,9.9,0.55,23.4,36.6,0.3,22.05,NA,NA,NA,NA,NA,0,1,2,"2huaehm1",NA,NA,NA,NA,NA,0
"27",11,"8xkps67u","SSEL_B_11",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.26",2017-05-21 06:07:49,0,1,NA,NA,75,1,2,19,1,0.05,57,3,0.3,20.2,NA,NA,NA,NA,NA,0,1,2,"2huaehm1",NA,NA,NA,NA,NA,0
"28",12,"9qv3baca","SSEL_B_17",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.140",2017-05-21 06:07:54,0,1,NA,NA,80,2,2,19,1,0.05,40.8,19.2,0.3,25.06,NA,NA,NA,NA,NA,0,3,2,"2huaehm1",NA,NA,NA,NA,NA,0
"29",13,"hvdw3428","SSEL_B_15",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.62",2017-05-21 06:08:12,0,1,NA,NA,65,2,2,10,10,0.5,35,25,0.3,20.5,NA,NA,NA,NA,NA,0,2,2,"2huaehm1",NA,NA,NA,NA,NA,0
"30",14,"96qvu9ce","SSEL_B_14",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.130",2017-05-21 06:08:14,0,1,NA,NA,60,4,2,1,19,0.95,30.5,27.5,0.3,14.95,NA,NA,NA,NA,NA,0,1,2,"2huaehm1",NA,NA,NA,NA,NA,0
"31",15,"t673xkwr","SSEL_B_13",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.188",2017-05-21 06:08:16,0,1,NA,NA,70,4,2,14,6,0.3,31,29,0.3,24.5,NA,NA,NA,NA,NA,0,2,2,"2huaehm1",NA,NA,NA,NA,NA,0
"32",16,"eu53pcc8","SSEL_B_12",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.104",2017-05-21 06:08:43,0,1,NA,NA,75,1,2,19,1,0.05,57,3,0.3,20.2,NA,NA,NA,NA,NA,0,2,2,"2huaehm1",NA,NA,NA,NA,NA,0
"33",1,"r0jay8hc","SSEL_B_05",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.71",2017-05-21 06:07:11,0,1,NA,NA,75,3,3,17,3,0.15,19,41,0.3,30.2,NA,NA,NA,NA,NA,0,3,3,"2huaehm1",NA,NA,NA,NA,NA,0
"34",2,"6dsf0as6","SSEL_B_04",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.198",2017-05-21 06:07:15,0,1,NA,NA,55,4,3,10,10,0.5,39,21,0.3,19.3,NA,NA,NA,NA,NA,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0
"35",3,"kv6j95uw","SSEL_B_03",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.115",2017-05-21 06:07:20,0,1,NA,NA,85,4,3,17,3,0.15,42,18,0.3,23.3,NA,NA,NA,NA,NA,0,2,3,"2huaehm1",NA,NA,NA,NA,NA,0
"36",4,"uczqnwc2","SSEL_B_02",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.142",2017-05-21 06:07:21,0,1,NA,NA,70,1,3,19,1,0.05,17.9,40.1,0.3,31.33,NA,NA,NA,NA,NA,0,3,3,"2huaehm1",NA,NA,NA,NA,NA,0
"37",5,"0juhqjgp","SSEL_B_01",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.117",2017-05-21 06:07:24,0,1,NA,NA,75,4,3,19,1,0.05,30,30,0.3,28.3,NA,NA,NA,NA,NA,0,3,3,"2huaehm1",NA,NA,NA,NA,NA,0
"38",6,"kzukhtoj","SSEL_B_06",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.203",2017-05-21 06:07:33,0,1,NA,NA,75,3,3,1,19,0.95,35,25,0.3,14.2,NA,NA,NA,NA,NA,0,2,3,"2huaehm1",NA,NA,NA,NA,NA,0
"39",7,"rg0w0s8o","SSEL_B_07",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.220",2017-05-21 06:07:36,0,1,NA,NA,70,2,3,10,10,0.5,26,34,0.3,23.2,NA,NA,NA,NA,NA,0,4,3,"2huaehm1",NA,NA,NA,NA,NA,0
"40",8,"csyiejqy","SSEL_B_08",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.202",2017-05-21 06:07:40,0,1,NA,NA,60,3,3,4,16,0.8,55,5,0.3,10.3,NA,NA,NA,NA,NA,0,4,3,"2huaehm1",NA,NA,NA,NA,NA,0
"41",9,"4tdc12z8","SSEL_B_09",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.120",2017-05-21 06:07:42,0,1,NA,NA,60,4,3,8,12,0.6,28,32,0.3,21.2,NA,NA,NA,NA,NA,0,4,3,"2huaehm1",NA,NA,NA,NA,NA,0
"42",10,"hom8zhgd","SSEL_B_10",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.174",2017-05-21 06:07:45,0,1,NA,NA,65,2,3,0.899999999999999,17.1,0.95,36,24,0.3,13.23,NA,NA,NA,NA,NA,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0
"43",11,"8xkps67u","SSEL_B_11",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.26",2017-05-21 06:07:49,0,1,NA,NA,75,1,3,19,1,0.05,40,20,0.3,25.3,NA,NA,NA,NA,NA,0,4,3,"2huaehm1",NA,NA,NA,NA,NA,0
"44",12,"9qv3baca","SSEL_B_17",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.140",2017-05-21 06:07:54,0,1,NA,NA,80,2,3,16,4,0.2,20.9,37.1,0.3,28.33,NA,NA,NA,NA,NA,0,2,3,"2huaehm1",NA,NA,NA,NA,NA,0
"45",13,"hvdw3428","SSEL_B_15",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.62",2017-05-21 06:08:12,0,1,NA,NA,65,2,3,10,10,0.5,39,21,0.3,19.3,NA,NA,NA,NA,NA,0,3,3,"2huaehm1",NA,NA,NA,NA,NA,0
"46",14,"96qvu9ce","SSEL_B_14",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.130",2017-05-21 06:08:14,0,1,NA,NA,60,1,3,1,19,0.95,35.9,22.1,0.3,13.33,NA,NA,NA,NA,NA,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0
"47",15,"t673xkwr","SSEL_B_13",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.188",2017-05-21 06:08:16,0,1,NA,NA,70,3,3,10,10,0.5,39,21,0.3,19.3,NA,NA,NA,NA,NA,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0
"48",16,"eu53pcc8","SSEL_B_12",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.104",2017-05-21 06:08:43,0,1,NA,NA,75,1,3,19,1,0.05,40,20,0.3,25.3,NA,NA,NA,NA,NA,0,2,3,"2huaehm1",NA,NA,NA,NA,NA,0
"49",1,"r0jay8hc","SSEL_B_05",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.71",2017-05-21 06:07:11,0,1,NA,NA,75,4,4,17,3,0.15,36,24,0.3,25.1,NA,NA,NA,NA,NA,0,3,4,"2huaehm1",NA,NA,NA,NA,NA,0
"50",2,"6dsf0as6","SSEL_B_04",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.198",2017-05-21 06:07:15,0,1,NA,NA,55,3,4,12,8,0.4,44.74,13.26,0.3,18.378,NA,NA,NA,NA,NA,0,3,4,"2huaehm1",NA,NA,NA,NA,NA,0
"51",3,"kv6j95uw","SSEL_B_03",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.115",2017-05-21 06:07:20,0,1,NA,NA,85,4,4,19,1,0.05,34,26,0.3,27.1,NA,NA,NA,NA,NA,0,4,4,"2huaehm1",NA,NA,NA,NA,NA,0
"52",4,"uczqnwc2","SSEL_B_02",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.142",2017-05-21 06:07:21,0,1,NA,NA,70,3,4,15,5,0.25,40.4,19.6,0.3,22.38,NA,NA,NA,NA,NA,0,4,4,"2huaehm1",NA,NA,NA,NA,NA,0
"53",5,"0juhqjgp","SSEL_B_01",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.117",2017-05-21 06:07:24,0,1,NA,NA,75,1,4,18,2,0.1,38.74,19.26,0.3,24.378,NA,NA,NA,NA,NA,0,4,4,"2huaehm1",NA,NA,NA,NA,NA,0
"54",6,"kzukhtoj","SSEL_B_06",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.203",2017-05-21 06:07:33,0,1,NA,NA,75,1,4,19,1,0.05,32,28,0.3,27.7,NA,NA,NA,NA,NA,0,2,4,"2huaehm1",NA,NA,NA,NA,NA,0
"55",7,"rg0w0s8o","SSEL_B_07",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.220",2017-05-21 06:07:36,0,1,NA,NA,70,2,4,12,8,0.4,39,21,0.3,20.7,NA,NA,NA,NA,NA,0,3,4,"2huaehm1",NA,NA,NA,NA,NA,0
